"nonExpertsBestAnswer";"periodAnswer"
"1";"6"
"1";"7"
"4";"8"
"2";"9"
"7";"10"
"5";"11"
"3";"12"
"4";"15"
"3";"16"
"2";"17"
"2";"18"
"7";"19"
"6";"20"
"9";"21"
"1";"22"
"5";"23"
"5";"24"
"4";"25"
"7";"26"
"7";"27"
"2";"28"
"7";"29"
"10";"30"
"4";"31"
"13";"32"
"11";"33"
"13";"34"
"8";"35"
"10";"36"
"6";"37"
"11";"38"
"10";"39"
"13";"40"
"12";"41"
"8";"42"
"5";"43"
"7";"44"
"8";"45"
"9";"46"
"14";"47"
"8";"48"
"9";"49"
"4";"50"
"16";"51"
"9";"52"
"19";"53"
"16";"54"
"13";"55"
"23";"56"
"19";"57"
"20";"58"
"2";"59"
